Classification/Brand/Cost Center/Class,AccountType,Subsidiary,Department,Location,BudgetCategory,Currency,AcctNumber,Account Name,Customer,Vendor
,,,,,,,41009,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant depreciation on inter company disposals",76136 Hutchinson Three,CS Vehicle Repairs
,,,,,,,42002,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles inter company additions",294776 Project Torque,CSA
,,,,,,,42005,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles depreciation brought forward",78394 Lakota of Ohio,CSD Print Ltd
,,,,,,,42008,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles depreciation charge on disposals",78396 Wright Way Trailers Inc.,CV Library
,,,,,,,50000,Current Assets : Inventories : E-Commerce Inventory : E-commerce Inventory,78398 AMERICAN WAY,CVM (Preston) Ltd
,,,,,,,51002,Current Assets : Inventories : Print Inventory : Production Inventory,243895 Merryck and Co,CXENSE AS
,,,,,,,33004,Overhead Costs : Tech/Website Costs : Domain Names Registration,243987 viking electrical,CYBERSOURCE LTD
,,,,,,,33007,Overhead Costs : Tech/Website Costs : Tech Development Charge,76123 Hewden,Cafe Du Van Catering Limited
,,,,,,,65629,Bank : Bank: Hdfc bank a/c,272887 Hylands Garage,Calibrate Digital
,,,,,,,34000,Overhead Costs : Marketing/Promotional Costs : Promotion Costs Internal,79353 Ayla Aviation Academy,Calor Gas
,,,,,,,34003,Overhead Costs : Marketing/Promotional Costs : Sms marketing costs,285129 Milan Car Sales,Cameron Hepburn
,,,,,,,35015,Overhead Costs : Direct Overheads : Canvassing Charge,102616 Hunt And Palmer,Camra
,,,,,,,35018,Overhead Costs : Direct Overheads : Debt Collection Costs - Legal,243972 richard jarvis,Canal Toys Distribution Ltd
,,,,,,,37003,Overhead Costs : Allocation of Group Costs : Group Web Charge,244117 TGTC t/a car enterprise,Canary Heights
,,,,,,,38002,Other Expenses : Finance Income/Charges : Interest received internal,78956 Onyx Arabians,Canddi Ltd
,,,,,,,38005,Other Expenses : Finance Income/Charges : Loan interest payable,244063 emerald trading,Candice Miles
,,,,,,,34002,Overhead Costs : Marketing/Promotional Costs : Design Studio Materials,76256 Doncaster & Sheffield Airport,Canimar Ltd
,,,,,,,35000,Overhead Costs : Direct Overheads : Motor Expenses,243718 The Gearbox Centre,Canon (UK) Ltd
,,,,,,,35003,Overhead Costs : Direct Overheads : Repairs & Renewals,243977 Mr Rayner,Canva
,,,,,,,35006,Overhead Costs : Direct Overheads : Couriers & postage,285575 Safe Chimney Sweep & Installations,Capital Electric Wholesale Ltd
,,,,,,,35008,Overhead Costs : Direct Overheads : Subscriptions,78624 Scottie Campbell Realty,Capolra
,,,,,,,35011,Overhead Costs : Direct Overheads : Client Entertaining,77496 Capitol Sheds,Car Sales/Dealers Group
,,,,,,,35014,Overhead Costs : Direct Overheads : Bad Debt,244179 Beckett Group Ltd,Cardiff Lift Company
,,,,,,,14016,Revenue : Retail Total : Upcountry Contracting Revenue,245779 Riverside Wealth Corp Ltd,Cardinal Commerce
,,,,,,,,Cost of Goods Sold,299159 David Rattray,Care 4your Garden
,,,,,,,,Transfer Orders,299163 TrustFlight Limited,Careerbuilder.com
,,,,,,,20007,Cost Of Sales : Staff Costs - Cost of Sales : Pension COS,244835 Aston Darby Group Limited,Carl Howard
,,,,,,,31001,Overhead Costs : Staff Costs - Overheads : Director Costs - Overheads : Directors NI,294851 Stanley and Thomas Boat Builders,Carla Wye
,,,,,,,36503,Overhead Costs : Other Overheads : Professional Services Costs : General Insurance,244001 Chris Cleverly,Carolina Roman - Expenses
,,,,,,,39003,Other Expenses : Revaluation Reserve Movement,243992 Kelly Grant,Carolina Roman Tito - Entrepreneur individuel
,,,,,,,39002,Other Expenses : InterCo loan's W/o,244235 Staff -finda,Carr & Day & Martin
,,,,,,,44007,Non-current assets : Goodwill : Goodwill amortisation on inter co additions,243813 GKI Resourcing,Carr & Day & Martin
,,,,,,,45002,Non-current assets : Other Intangible Assets : CDC Interco Additions,243835 VINEHALL STUDIOS,Carrie A Clifford
,,,,,,,45007,Non-current assets : Other Intangible Assets : CDC Depreciation on disposals,244105 Eastbourne Relay for Life,Carweb Ltd
,,,,,,,53010,Current Assets : Intercompany Receivables : Cyclestar Limited,244024 JB Shelters Equestrian Ltd (Equi Hut),Castle Water - Ltd
,,,,,,,53015,Current Assets : Intercompany Receivables : Boatshop24 GMBH,243828 CWRT Equine,Castle Water - Upcountry
,,,,,,,53020,Current Assets : Intercompany Receivables : GONEBoarding Ltd,243818 Finest Autos,Castlefield Products Ltd
,,,,,,,53025,Current Assets : Intercompany Receivables : Provision for intercompany loan,244011 loraine topless massage,Cater-Kwik Ltd
,,,,,,,54002,Current Assets : Other Receivables : Other debtors,76148 Bright Young Things,CaterSparesUK
,,,,,,,54006,Current Assets : Other Receivables : Unpaid streamline,78401 Global Engine Maintenance,Catering Appliance Superstore
,,,,,,,54011,Current Assets : Other Receivables : Capital expenditure suspense,299627 Sam Wright,Cateryard
,,,,,,,60002,Trade Payables : Prepaid lineage control,244144 Quadrigair GmbH,Caxton Arms
,,,,,,,62001,Current Liabilities : Corp Tax Payable : Deferred tax,79374 LAMMA,Celigo Inc
,,,,,,,63004,Current Liabilities : Other Payables : Net wages control,79384 James White & Sons Ltd,Cellular Solutions & Services
,,,,,,,63009,Current Liabilities : Other Payables : CJK current account,243966 Auto Attractions,Central Conveyor Belting Services Ltd
,,,,,,,65010,Current Liabilities : Cash : Caravan Selecta Cash control account,706431 Lufthansa Technik Maintenance International,Central Park Postal Center
,,,,,,,66002,Current Liabilities : Loans : Platemaker loan facility,299628 Kims Massage,Century Computer
,,,,,,,71001,Equity : Reserves : Retained profit b/f additions,244017 Trot (toll rides odd road trust),Certainly Wood Ltd
,,,,,,,73002,Equity : Minority Interests : Brownbook - Minority interest,77679 Lynn Bender   lynnbender@kw.com,Certas Energy
,,,,,,,OB2,Uncategorized Income,293596 Eventtrix,Cesar Garcia Barclaycard
,,,,,,,65615,Bank : Bank: Dummy GBP CyberSource,244715 Ace flooring,Challenge Packaging
,,,,,,,22016,Cost Of Sales : E-Commerce Costs - Cost of Sales : Footwear COS,244272 Blake McCusker Horsemanship,Chamberlain Nurseries
,,,,,,,,Failed ACH Transactions,76215 Hacienda Laubela,Chameleon Designs
,,,,,,,,Unbilled Receivable,79376 European Aviation Ltd,Channel Glazing Ltd
,,,,,,,54014,Deferred Expense (Prepayments),258536 Harvard Flight Centre,Chapman's Seafoods Ltd
,,,,,,,,Accumulated Depreciation,244746 Equatus Vehicle Services,Charlene Gibson
,,,,,,,,Cumulative Translation Adjustment-Elimination,244167 Engage in Learning,Charles Taylor Tading Ltd
,,,,,,,17100,Revenue : Other Income : SL Migration Revenue,243938 Patriot Advertising,Charlotte McCabe
,,,,,,,30000,Overhead Costs : Staff Costs - Overheads : Staff Costs - Overheads : Wages OH,243997 Legacy Horse Company,Charlton Grant Ltd
,,,,,,,30006,Overhead Costs : Staff Costs - Overheads : Staff Costs - Overheads : NI OH,244264 Fire.com,Chatham Marine Limited
,,,,,,,30012,Overhead Costs : Staff Costs - Overheads : Staff Costs - Overheads : Employee Welfare,78013 Monnens Quarter Horses,Cheap Rope (AIC Trading Limited)
,,,,,,,36003,Overhead Costs : Other Overheads : Other Overheads : Machine Maintenace,244742 First Car Sales,Cheapestprintonline
,,,,,,,36007,Overhead Costs : Other Overheads : Other Overheads : Waste disposal,244108 Hart Reade Solicitors,Chefs Pantry Ltd
,,,,,,,10003,Revenue : Print Revenue : Leaflet Revenue,78662 REMAX Gold,Chess Ltd
,,,,,,,10005,Revenue : Print Revenue : Heartline Revenue,284778 Jayne,Chiara Dapor
,,,,,,,10011,Revenue : Print Revenue : Lineage Differences,78066 TLFEAGLE,Chichester District Council
,,,,,,,39000,Other Expenses : Dividends/Tax/MI/FX : Dividends to/from Group Undertakings : Dividends Receivable from Group Undertakings,243916 Williams Beales,Chirpy Bird Foods (Canon Garth Ltd)
,,,,,,,65001,Current Liabilities : Cash : Cash Control Account : Sales cash account,244210 GS Equine,Choice Vehicle Rentals
,,,,,,,65004,Current Liabilities : Cash : Cash Control Account : PayPal account,79316 Carafit Caravan Services,Chris Bailey
,,,,,,,65007,Current Liabilities : Cash : Cash Control Account : Euro cash float,244794 Aviation Maintenance Consulting Services Limited,Chris Bartholomew Electrical Contractor Ltd
,,,,,,,,VAT on Sale,244748 MOSTRA SA,Chris Kidger
,,,,,,,10017,Revenue : Print Revenue : Display Credit Notes,244812 Arena Werks,Chris Kidger Amex
,,,,,,,,VAT on Purchase,243978 suzette escort crawley,Chris Kidger Barclaycard
,,,,,,,44002,Non-current assets : Goodwill : Goodwill inter company additions,79347 Ctrack,Chris Kozak
,,,,,,,44005,Non-current assets : Goodwill : Goodwill amortisation brought forward,244023 Hills horsebox hire,Chris Thomson
,,,,,,,44009,Non-current assets : Goodwill : Goodwill amortisation on inter co disposals,76242 Markerstudy Limited / Insurance Factory,Chris Whiteside Plumbing & Heating
,,,,,,,45004,Non-current assets : Other Intangible Assets : CDC Interco Disposals,79445 deviertj,Chrissie Kimber
,,,,,,,46005,Non-current assets : Investments : Tr out assoc investment,76209 setyres,Christmas Inspirations B.V.
,,,,,,,50003,Current Assets : Inventories : Office Supplies Stock,76211 Contract Options (West) Ltd,Christopher Stanley Boakes T/A Chris Boakes Legal
,,,,,,,52002,Trade Receivables : Sales control account,296082 Sussex Beauty Treats,Chubb Electronic Security Systems Ltd
,,,,,,,52007,Trade Receivables : GBP CyberSource Gunstar Control Account,244097 SJP Law,Churnet Valley Garden Furniture Ltd
,,,,,,,53000,Current Assets : Intercompany Receivables : Friday-Ad Limited,78135 Walk This Way Ranch,Citipost Direct Distribution
,,,,,,,53005,Current Assets : Intercompany Receivables : Inter company loans - Sterling,244146 Alletz,City College Brighton & Hove
,,,,,,,53027,Current Assets : Intercompany Receivables : Friday Media Ltd (Ireland),78067 Sandhills Dressage,City Electrical Factors - Upcountry
,,,,,,,54019,Current Assets : Other Receivables : Temporary Holding - Vendor Prepayments,76174 Grant Thornton UK LLP,City Electrical Factors Ltd (SWANSEA & WORC)
,,,,,,,20001,Cost Of Sales : Staff Costs - Cost of Sales : Overtime COS,76140 Comfy Quilts Ltd,City Electrical Factors South East (CEF)
,,,,,,,20005,Cost Of Sales : Staff Costs - Cost of Sales : Wages Recharged COS - LH,79296 CDH Automotive,City Link
,,,,,,,FTE003,FTE - COS MKT,78640 Diamond J Horses,City Plumbing
,,,,,,,40019,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property depreciation brought forward",244287 Browsi Mobile LTD,City of Miami
,,,,,,,54020,Current Assets : Other Receivables : Upcountry Loan,298852 CWSL Cars Ltd STRIPE,Civils and Plant Ltd
,,,,,,,65618,Bank : Bank: Dummy GBP CyberSource GS,244044 quay antiques,Cladding Centre Ltd
,,,,,,,40002,"Non-current assets : Property, Plant and Equipment : Property : Freehold land disposals",76147 Spearing Waite LLP,Cladding Warehouse
,,,,,,,40005,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings additions","77963 Advanced Equine Comfort, LLC",Clair Tucker
,,,,,,,40008,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings inter company disposals",78012 Little Indian Creek Farms,Claire McEvoy
,,,,,,,40011,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings depn on inter co addititions",78032 THOROUGHBRED SPORT HORSES AMERICA'S ELITE,Clare Leck
,,,,,,,40014,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property cost brought forward",76141 Hasbro,Clarion Surveyors
,,,,,,,40017,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property disposals",244440 Highfield Equestrian,Clarke Saunders Associates
,,,,,,,40022,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property depreciation on disposals",243973 Black Cat Farm,Classic Lodges T/A Hickstead Hotel
,,,,,,,41001,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant additions",243983 New Enterprise Retail Limited T/A Bristol Air Guns,Classiflora Imports Ltd
,,,,,,,41004,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant inter company disposals",244078 Aztec Diamond Equestrian UK Ltd,Claudia Herbert
,,,,,,,41007,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant depreciation on inter company additions",240839 splash cams,Clean & Green
,,,,,,,42000,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles cost brought forward",284668 A&A Car Sales STRIPE,Clean Cut Print Finishing
,,,,,,,42003,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles disposals",243968 Cars Of Southsea,CleanSafe Services UK Ltd
,,,,,,,70001,Equity : Equity : Called up share capital additions,244427 Falklands Islands Government,Cleaning Northwest Ltd
,,,,,,,40001,"Non-current assets : Property, Plant and Equipment : Property : Freehold land additions",244094 Howman Solicitors,Clementoni S.p.A
,,,,,,,40004,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings cost brought forward",76200 Ellenor Lions - Use Walters Snowdon advertising,Cleveland Containers - Ltd
,,,,,,,40007,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings disposals",145458 Ginger PC,Cleveland Containers - Upcountry
,,,,,,,40010,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings depreciation charge",246304 Kemps Publishing LTD,Click Performance Limited
,,,,,,,40013,"Non-current assets : Property, Plant and Equipment : Property : Freehold buildings depn on inter co disposals",244018 team 55 ltd,ClickIQ
,,,,,,,40016,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property inter company additions",76195 Design Sport Horse,Cliffe Enterprise Ltd
,,,,,,,40020,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property depreciation charge",78188 Southeast Financial,Climachill Ltd
,,,,,,,42006,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles depreciation charge",244022 Careco (UK) Ltd,CloudSense Consultancy
,,,,,,,42009,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles depreciation on inter co disposals",244061 Istanbul Traditional Turkish Barber,Club Wembley
,,,,,,,51000,Current Assets : Inventories : Print Inventory : Press spare parts Inventory,78926 Chelsie Natural Horsemanship,Co-op - Upcountry
,,,,,,,51003,Current Assets : Inventories : Print Inventory : Work in progress,79429 Mansell Recruitment Group,Coastal Drains Ltd
,,,,,,,40023,"Non-current assets : Property, Plant and Equipment : Property : Leasehold property depn on inter co disposals",76169 Hitachi consulting,Coastline Printing Products Limited
,,,,,,,41002,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant inter company additions",79393 Penton Motor Group,Cocoba Ltd
,,,,,,,41005,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant depreciation brought forward",76161 Sports Outlet,Code Brighton
,,,,,,,41008,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Plant depreciation on disposals",244175 The Tv man,CodeNax
,,,,,,,42001,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles additions",244242 Chase Tenders Ltd,Coffee Doctor
,,,,,,,42004,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles inter company disposals",76145 Guest Services Worldwide.,Coffee Hit
,,,,,,,42007,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor vehicles depreciation on inter co additions",245337 Millennium Buildings,Cognism Limited
,,,,,,,65003,Current Liabilities : Cash : Cash Control Account : Spidersnet DD account,244253 EJC Equine,Colin Etherington
,,,,,,,65006,Current Liabilities : Cash : Cash Control Account : Petty cash account,145455 Rebel Marine,Comcast
,,,,,,,65009,Current Liabilities : Cash : Cash Control Account : Friday Ad Deals Control Account Paypal,78839 Hearts and Horses,Comorah Briscoe
,,,,,,,11026,Revenue : Online Revenue : Ongoing Online Revenue : Friday-Ad Motors/Spidersnet Packages,78575 Jumping H Farm,Compact & Bale Limited
,,,,,,,65620,Bank : Bank : Dummy FMG (pd Ltd),76216 STAL VDW,Companies House
,,,,,,,63008,Deferred Revenue,78293 Pineview Arabians,Compass  Inflatables Ltd
,,,,,,,63020,IVA on Sales,244109 Ad.X,Computershare Salary Extras (Caboodle)
,,,,,,,63019,IVA on Purchases,78884 Agoura Horse Property,Computershare Voucher Services
,,,,,,,,VAT Liability [1],244035 Mr Keith Hollands,Congress-Messe-Marketing GMBH
,,,,,,,3200,Opening Balance,79362 NM NAUTICA MARE SRL,Connevans Ltd
,,,,,,,,Sales,244762 Queenie Productions,Consort Frozen Foods
,,,,,,,,Expenses,244201 Advanced Automotive,Container Centralen Limited
,,,,,,,,Shipping and Handling,244402 Pure Japanese Motors,Contego Safety Solutions Ltd
,,,,,,,,Sales Taxes Payable FL,244334 dent devils,Content App Ltd
,,,,,,,63003,Current Liabilities : Other Payables : Output VAT,243976 The Bullet Hole,Content Marketing Services
,,,,,,,63002,Input VAT,244731 Hazelhurst Roofing,Contentive Limited
,,,,,,,63001,Current Liabilities : Other Payables : VAT Control Account,244177 SK8SCHOOL,Convert Insights Inc
,,,,,,,3035,Cumulative Translation Adjustment,257263 Shooters,Coolbreeze AC Ltd
,,,,,,,NP25,Unapproved Expense Reports,244336 Virgo Autos,Cooleraid Ltd
,,,,,,,54016,Current Assets : Other Receivables : Advances Paid,244207 Walkers Home Improvements Ltd,Coolrit Air Conditioning
,,,,,,,60003,Trade Payables : Expense Accounts Payable,244098 Libertist Yachts,Copse Mill Properties Ltd Pension Scheme
,,,,,,,NP18,Purchase Orders,79601 Total Airport Services,Corporate & Public Safety Ltd
,,,,,,,63014,Current Liabilities : Other Payables : Inventory Received Not Billed,244422 A V S Fencing,Costa Coffee - Upcountry
,,,,,,,54017,Current Assets : Other Receivables : Undeposited Funds,244095 The South Lodge Hotel,Cotswold Fayre Ltd
,,,,,,,,Refunds Payable,79561 Keystone Law,Cottage Delight
,,,,,,,NP17,Opportunities,244096 ARBICO Organics,Country Haylage Ltd
,,,,,,,NP26,Return Authorizations,102628 Atlantic Aviation Group,Coveris Flexibles UK Ltd
,,,,,,,NP24,Unapproved Customer Payments,244418 Wax Factor,Cowomoma Ltd T/A Society 1
,,,,,,,NP11,Estimates,244085 Handforth Garage,Cradick Retail LLP
,,,,,,,,Accounts Receivable,244132 AdYouLike Ltd,Craig Brown Window Cleaning
,,,,,,,NP21,Sales Orders,102623 Croatian Villas,Creative Products Limited
,,,,,,,NP27,Vendor Return Authorizations,244359 OPTIMA Sp. z o.o.,Creme d’Or
,,,,,,,54013,Current Assets : Other Receivables : Inventory Returned Not Credited,244463 Kizzy,Cres ltd
,,,,,,,,Rounding Gain/Loss,244491 Sovereign Body Works,Crest Garden Limited
,,,,,,,65015,Current Liabilities : Cash : Voucher Control,244534 Ad.X AG,Crickmay Chartered Surveyors
,,,,,,,65016,Current Liabilities : Cash : Upcountry Pension Liability,244335 Seven Oaks Farms,Criteo Ltd
,,,,,,,65630,Bank : HDFC Debit Card 5020028070962,244386 Cheshunt Funeral Directors,Crooton Ltd
,,,,,,,12026,Revenue : Online Revenue : Short Term Online Revenue : Ad Agency Revenue,244154 Tates,Crowd Control Solutions Limited
,,,,,,,30016,Overhead Costs : Staff Costs - Overheads : Pallet Charges,244294 Berkshire Hathaway Home Services Elite Properties,Crown Pet Foods Ltd T/A Royal Canin
,,,,,,,12027,Revenue : Online Revenue : Short Term Online Revenue : Shortlist Subscription Revenue,79526 HR Director Solutions (Montague Evans),Crumbs Drinks Limited
,,,,,,,53032,Current Assets : Intercompany Receivables : Shortlist Resourcing,244092 Hutfields of Botley,Curd & Cure
,,,,,,,65631,Bank : Bank: Dummy Shortlist Resourcing,244211 Phoenix Rising Saddle,Currys PC World - Upcountry
,,,,,,,14027,Revenue : Retail Total : GWP Sales,79534 Salona Italia,CwmakeAdifference
,,,,,,,22028,Cost Of Sales : GWP COS,79436 Alpine Escapes,D Shaw And Co Ltd
,,,,,,,11027,Revenue : Online Revenue : Ongoing Online Revenue : Natives Subscriptions,244382 Cynthia Howe,D T R Newnham Plastic Fabrications
,,,,,,,12025,Revenue : Online Revenue : Short Term Online Revenue : Natives AOB,244397 defrost my freezer,D&J Glassware
,,,,,,,53031,Current Assets : Intercompany Receivables : 500 Fridays Limited,244190 Welsman Services,D'Oli Disco
,,,,,,,30015,Overhead Costs : Staff Costs - Overheads : Voucher Services,244178 Powerdean Carpet Care,DARS Management Co Ltd T/A Agrifence
,,,,,,,30014,Overhead Costs : Staff Costs - Overheads : Staff Uniforms,289164 PEOPLE CARE AGENCY,DB Automaten €
,,,,,,,50004,Current Assets : Inventories : Bakehouse WIP,102630 Rilwood Associates,DCW Penrose & Co Ltd
,,,,,,,50005,Current Assets : Inventories : Garden Center WIP,244502 Alizee Marine,DEMON INTERNET
,,,,,,,65013,Current Liabilities : Cash : PDQ Control,79414 St Leonards Motors,DG Electrics
,,,,,,,65014,Current Liabilities : Cash : Cash Control,294789 Shada,DHL INternational Ltd
,,,,,,,36202,Overhead Costs : Other Overheads : Cafe Expenses,244163 Simpsons Garage Great yarmouth,DHL International
,,,,,,,65632,Western Union,244204 M&A Coachworks,DJ Lacon Plumbing & Heating
,,,,,,,12028,Revenue : Online Revenue : Short Term Online Revenue : Hello Friday Subs - DONT USE,296042 LP-GP Connect,DLF Seeds Ltd
,,,,,,,47001,Capital Work in Progress : Upcountry Fresh WIP,299630 Martin Costin,DMDatabases - Div of Dirmark Media Inc.
,,,,,,,50007,Current Assets : Inventories : Stone Cross Nursery WIP,244157 BSW Energy,DMH Stallard
,,,,,,,65635,Bank : UBL Bank,244354 Halls Garage STRIPE,DMH Stallard LLP - Upcountry
,,,,,,,65636,Bank : Meezan Bank,244197 Amvale Medical Transport Ltd,DML Roofing
,,,,,,,37005,Overhead Costs : Allocation of Group Costs : Properties Charge,244176 Empress Oriental,DP & EH Chewter
,,,,,,,63030,Current Liabilities : Other Payables : US Security Deposit,244435 De Facto Image Building N.V.,DRAG & DROP LTD
,,,,,,,63031,Current Liabilities : Other Payables : Azets Security Deposit,244412 Radfield home care,DS Smith Recycling
,,,,,,,40027,"Non-current assets : Property, Plant and Equipment : Property : Improvements to Property Cost depreciation charge",244471 Rylee Building Services,DT Electrical Supplies
,,,,,,,71003,Equity : Reserves : Forex Reserve Movement,244444 Larry Thomas,DVLA (Vehicle Tax)
,,,,,,,54026,Current Assets : Other Receivables : Loan to group undertakings - Forex,244213 Tranzon Fox,DVLA - Upcountry
,,,,,,,63034,Current Liabilities : Other Payables : Lahore provident fund payable,294718 Hunters Natural,DVV Media International
,,,,,,,42012,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor Vehicles lease depreciation brought forward",79411 Uni-top Airlines,DWP
,,,,,,,42013,"Non-current assets : Property, Plant and Equipment : Motor Vehicles : Motor Vehicles lease depreciation charge",79435 Macon Custom Trailers & Golf Carts,DWP CMG EMPLOYER
,,,,,,,36203,Overhead Costs : Other Overheads : Gain/ (loss) on disposal of fixed assets,145464 Wimbledon Audi,Daisy Group
,,,,,,,63035,Current Liabilities : Other Payables : Swim Trek Deposit,79542 Langdon Hills Motor Company,Dan Carling
,,,,,,,63036,Current Liabilities : Other Payables : Voltix Deposit,244580 Shady Horsemanship,Dan Curtis
,,,,,,,13015,Revenue : Automated Revenue : Prime Aviation Membership - Recurring,244425 Taskeater,Dan Hancock
,,,,,,,13016,Revenue : Automated Revenue : Prime Aviation AOB,244631 Michael Taylor,Dan Howie
,,,,,,,65633,Bank : Bank: Clydesdale Bank - DO NOT USE,244708 British Parts UK,Dan Montague - Expenses
,,,,,,,50006,Current Assets : Inventories : Upcountry Fresh WIP,244809 PST Travel Ltd,Dan's Taxi
,,,,,,,470,Capital Work in Progress,244390 Suzuki Sheffield,Daniel Davies
,,,,,,,47002,Capital Work in Progress : Stone Cross Work in Progress,"79683 On Eagles' Wings Farm, LLC",Daniel Gardner
,,,,,,,46006,Non-current assets : Investments : Stone Cross Investment,244628 Bray Motors,Daniels Silverman Ltd
,,,,,,,47003,Capital Work in Progress : Lahore WIP,244734 Roughan Horseboxes,Darby Nursery Stock Ltd
,,,,,,,54021,Current Assets : Other Receivables : Friday AD Boats Limited,244735 Oracle Solicitors,Darlac Ltd
,,,,,,,52012,Trade Receivables : Promoter Control Account,244405 BM Vehicle Maintenance,Darren Clark
,,,,,,,37004,Overhead Costs : Allocation of Group Costs : Buildings Charge,244499 Aimcam Limited,Darren Harrison
,,,,,,,37006,Overhead Costs : Allocation of Group Costs : Group shared Services Charge,244697 Tetra Consulting,Darren Shelton
,,,,,,,17009,Revenue : Other Income : Properties Charge Receivable,244588 Clarify,Dart Charge
,,,,,,,54023,Current Assets : Other Receivables : Lahore withholding tax,79537 Brockbanks,Data Design Services Ltd (Accura)
,,,,,,,36019,Overhead Costs : Other Overheads : Other Overheads : Amortisation,244420 Catawiki B.V (Gunstar),Dave Capper - Expenses
,,,,,,,54024,Current Assets : Other Receivables : Corporate Tax Debtor,244322 Oakley Motorcycles Ltd STRIPE,Dave Capper Barclaycard
,,,,,,,40024,"Non-current assets : Property, Plant and Equipment : Property : Improvements to Property Cost brought forward",244560 Gilmorton Garage,Dave Ingram
,,,,,,,40025,"Non-current assets : Property, Plant and Equipment : Property : Improvements to Property Cost Additions",102682 Heli Service International GmbH,David Arellona
,,,,,,,40026,"Non-current assets : Property, Plant and Equipment : Property : Improvements to Property Cost depreciation brought forward",79691 Rypex Fire & Security,David Austin Roses Ltd
,,,,,,,63032,Current Liabilities : Other Payables : Motor Vehicles Lease liability,244415 JAHEDITBAL LTD,David Catt & Sons Ltd
,,,,,,,65017,Current Liabilities : Cash : Lahore Petty Cash,244378 Think Clever Media Limited,David Cover & Son Ltd
,,,,,,,65634,Bank : Bank: Clydesdale Bank,285218 H & D Motors,David Cruz Fuentes - Expenses €
,,,,,,,63029,Current Liabilities : Other Payables : Lahore other liabilities,244516 Bensten Motors,David Ingram - Expenses
,,,,,,,41010,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Lahore CAPEX",244486 MED WAVES LTD.,David Jessup Consulting
,,,,,,,47004,Capital Work in Progress : East Street WIP,244657 Helen Jackson,David Latham - DL Executive Travel
,,,,,,,800,Non-Current Liabilities,245771 East Sussex Static Trader,David Mee - Expenses
,,,,,,,54025,Current Assets : Other Receivables : Loan to group undertakings - New,245310 Archie Davis,David Sinnett
,,,,,,,46008,Non-current assets : Investments : Intellectual property,244385 Maple Syrup Media LTD,David Williams
,,,,,,,30017,Overhead Costs : Staff Costs - Overheads : Staff Costs - Overheads : Espana Wages,294126 East Sussex Vetrans' Hub,Day Brothers Limited T/A FieldGoods
,,,,,,,12029,Revenue : Online Revenue : Short Term Online Revenue : Hello Friday Implementation,79630 Talentpoint Resourcing,Dayne Stone
,,,,,,,71004,Equity : Reserves : Non-distributable reserve,245799 knowledge powered solutions,De Kisten Koning
,,,,,,,41011,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Fixtures & Fittings Cost brought forward",244414 Bold Tyres,De Stadschpomp €
,,,,,,,41012,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Fixtures & Fittings Additions",244470 Sentience International Limited,Dean Computers
,,,,,,,41013,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Fixtures & Fittings depreciation brought forward",244572 Poppinghole Farm Spa,Deathwatch Studios
,,,,,,,41014,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Fixtures & Fittings depreciation charge",244481 Graham Broad,Deborah Holden
,,,,,,,41015,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Computer equipment cost brought forward",244483 Shangri-la Equestrian,Decco Ltd (J.S.Copsey)
,,,,,,,41016,"Non-current assets : Property, Plant and Equipment : Plant and Equipment : Computer equipment additions",244450 bexleyheath babes,Deerview Fine Foods LLP
